image	title	content	physical	mental	emotional	social	spiritual	environmental	financial
	Breathing Meditation	Find a place you can stay still <br>  for a while at some point today. <br>  Focus completely on your breathing <br>  for 2 full minutes.		1	1		1		0
	Breath Counting	Focus your attention on your breath<br>  Pay attention to your breath as you slowly   breathe in deeply and out completely <br>  for 60 full breaths		1	1		1		0
	Create Something	"Create something today <br>  for 30 minutes.<br>  Draw, Paint, Sculpt, Whatever."		1			1		0
	Call Someone	Call a friend or relative today; <br>  you haven't spoken to in a while. <br>  Someone you would enjoy talking to <br>  Ask how they are doing.				1			0
	Affirm yourself	Look into the mirror <br>  tell yourself that you love and accept yourself <br>  exactly as you are right now. <br>  Do this 5 times today.			1				0
	Organize	"Put twenty things where they belong.<br>  (e.g. trash in trashcan, <br>  clothes in wardrobe, <br>  files in appropriate digital folder)"						1	0
	Appreciate Beauty	"Look for 5 things that are beautiful to you <br>  (a painting, a sunset, some flowers...)<br>  and take a picture on your phone"					1	1	0
	Exercise	Do ten pushups <br>  or twenty sit-ups <br>  or twenty squats	1	1					0
	Listen	"Listen to a new album, <br>  Ted Talk, or podcast <br>   for 10 minutes."		1					0
	Write	Grab a pen and paper <br>  or a word processor.<br>  Write 250 words about anything.		1	1		1		0
	No Computer	Go an hour today <br>  without electronics		1	1		1		0
	Go Outside	Go outside and take a 15 minute walk.<br>  Concentrate on how you take each step.<br>  Make sure you take stock of<br>  how your body feels <br>  Walk confidently and naturally.		1	1		1	1	0
	Groom Yourself	"Do something to better your appearance<br>  for at least 5 minutes<br>  e.g. brush your hair, shave, clip toenails, trim nose hair"	1		1			1	0
	Eat Healthy	Grab 3 servings<br>  of fruits or vegetables today <br>  and chow down.	1	1				1	0
	Clean Your Space	Choose one surface <br>  and clean it <br>  thoroughly.		1				1	0
	Sell Something	Grab something you don't need <br>  or haven't used in a while. <br>  Put it up on ebay or <br>  a similar marketplace.						1	1
	Learn Something	"Pick a subject you already study,<br>  or would like to learn. <br>  Study it for 30 minutes."		1			1		0
	Number Noticing	During a stressful moment today <br>  pause and take a breath.<br>  Notice:<br>  <b>5</b> things you can see. <br>  <b>4</b> things you can touch. <br>  <b>3</b> things you can hear. <br>  <b>2</b> things you can smell. <br>  <b>1</b> thing you can taste.		1	1		1		0
	Stopp	"Practice the <b>STOPP</b> skill:<br><br>  <b>S</b>top what you are doing.<br>  <b>T</b>ake a breath, mindfully.<br>  <b>O</b>bserve. Take stock of your emotions.<br>  <b>P</b>ull Back. Get some emotional distance.<br>  <b>P</b>roceed. Continue what you were doing with a calmer and more informed perspective."		1	1		1		0
	Make Your Bed	Is your bed made?<br>  Tuck in the sheets<br>  and make your bed <br>  into a nice place to sleep.			1			1	0
	Thank Someone	"Think of someone you are grateful to.<br>  Send them a thank you email, <br>  letter, or message."			1	1			0
	Body Meditation	Find a place to sit for 5 minutes. <br>  Close your eyes and <br>  meditate on how your body feels.<br>  More your focus up and down your body<br>  until the time is up.		1	1		1		0
	Mindfulness Hunt	Go outside and <br>  Find 3 different types of leaves<br>  or 3 different colored rocks.	1		1			1	0
	Exercise Plan	"Search the internet and make an exercise plan <br>   for the next week.<br>  Make sure it's one you can follow.<br>  Don't be too ambitious, but also<br>  don't make it too easy."	1	1					0
